id,name,country,working_hours_start,working_hours_end
1,Quatz,28,06:54:00,22:21:00
2,Shufflebeat,5,06:03:00,22:27:00
3,Tagfeed,73,06:19:00,22:49:00
4,Voolith,34,06:19:00,22:08:00
5,Flashdog,36,06:45:00,22:06:00
6,Mydeo,35,06:52:00,22:13:00
7,Babbleblab,40,06:21:00,22:03:00
8,Mybuzz,14,07:34:00,22:17:00
9,Skimia,11,07:20:00,22:34:00
10,Skipstorm,2,06:46:00,22:52:00
11,Meetz,67,07:53:00,22:07:00
12,Flashpoint,68,07:33:00,22:31:00
13,Gigabox,6,06:17:00,22:33:00
14,Oyope,50,06:41:00,22:11:00
15,Quinu,63,06:08:00,22:47:00
16,Brightdog,20,06:10:00,22:57:00
17,Livetube,45,07:35:00,22:49:00
18,Flipstorm,37,07:06:00,22:53:00
19,Topicstorm,1,07:29:00,22:49:00
20,Brainlounge,2,06:32:00,22:59:00
21,Ooba,27,06:09:00,22:30:00
22,Flashset,33,07:55:00,22:44:00
23,Izio,25,07:30:00,22:24:00
24,Youopia,43,07:37:00,22:13:00
25,Wordtune,60,07:04:00,22:53:00
26,Rhycero,60,06:16:00,22:20:00
27,Flipstorm,43,07:42:00,22:49:00
28,Linktype,1,06:22:00,22:12:00
29,Realmix,64,06:58:00,22:31:00
30,Jayo,38,07:22:00,22:52:00
31,Voonder,75,06:52:00,22:54:00
32,Skiba,18,07:52:00,22:32:00
33,Edgeblab,18,06:28:00,22:07:00
34,Skyndu,38,07:09:00,22:14:00
35,Jabberbean,9,07:31:00,22:56:00
36,Youspan,52,07:43:00,22:49:00
37,Bluezoom,11,06:00:00,22:47:00
38,Mybuzz,58,06:01:00,22:14:00
39,Ooba,17,06:35:00,22:55:00
40,Yambee,13,07:48:00,22:20:00
41,Mydeo,42,06:01:00,22:56:00
42,Skyble,26,06:14:00,22:52:00
43,Jabbertype,22,06:23:00,22:34:00
44,Mita,72,06:17:00,22:00:00
45,Realcube,4,07:22:00,22:16:00
46,Trudeo,73,07:53:00,22:50:00
47,Reallinks,71,06:50:00,22:15:00
48,Mydeo,19,07:15:00,22:55:00
49,Dabvine,31,07:45:00,22:26:00
50,Zava,44,07:15:00,22:24:00
51,Dabvine,50,07:57:00,22:19:00
52,Aimbo,3,06:54:00,22:40:00
53,Thoughtstorm,9,06:39:00,22:19:00
54,Trunyx,36,06:39:00,22:53:00
55,Flashdog,25,07:26:00,22:15:00
56,Wordware,29,06:16:00,22:41:00
57,Mynte,30,07:49:00,22:04:00
58,Innojam,65,06:29:00,22:59:00
59,Ntag,8,07:07:00,22:06:00
60,Katz,41,06:59:00,22:07:00
61,Dabvine,32,07:45:00,22:22:00
62,Wikivu,37,06:59:00,22:04:00
63,Skidoo,33,06:47:00,22:53:00
64,Meezzy,71,06:03:00,22:34:00
65,Shufflebeat,31,07:51:00,22:11:00
66,Aivee,68,07:59:00,22:35:00
67,Trilith,19,06:52:00,22:29:00
68,Zoonoodle,31,07:27:00,22:40:00
69,Mita,69,06:30:00,22:44:00
70,Roodel,29,06:03:00,22:13:00
71,Photofeed,21,07:29:00,22:53:00
72,Jamia,52,06:27:00,22:33:00
73,Mybuzz,25,06:10:00,22:34:00
74,Skynoodle,63,07:32:00,22:55:00
